expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,splt_direction,splt_ps,splt_piat_ms,application_is_guessed,application_confidence,Label
1,6525,8889,17,4,0,0,1.68E+12,1.68E+12,4872,79,24291,1.68E+12,1.68E+12,4872,65,20893,1.68E+12,1.68E+12,4530,14,3398,114,307.4810127,393.6687356,2050,114,321.4307692,425.2305981,2050,127,242.7142857,184.83524,576,0,62.46153846,64.35790596,278,0,76.125,82.96136029,383,1,348.4615385,490.8619316,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 1, 1]","[258, 576, 576]","[0, 87, 4]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4453,75,41583,1.68E+12,1.68E+12,4453,75,41583,0,0,0,0,0,102,554.44,76.78985716,576,102,554.44,76.78985716,576,0,0,0,0,3,60.17567568,76.82543067,346,3,60.17567568,76.82543067,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 3, 30]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4858,12,6912,1.68E+12,1.68E+12,4858,12,6912,0,0,0,0,0,576,576,0,576,576,576,0,576,0,0,0,0,3,441.6363636,1007.156519,3038,3,441.6363636,1007.156519,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 8, 3038]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,4964,93,23011,1.68E+12,1.68E+12,4964,59,16891,1.68E+12,1.68E+12,3125,34,6120,105,247.4301075,277.9728403,1860,114,286.2881356,329.0342216,1860,105,180,133.2320828,576,0,53.95652174,94.79682299,568,1,85.5862069,113.9119442,568,0,94.6969697,234.5019303,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[546, 328, 1560]","[0, 20, 106]",0,0,benign
0,8889,6525,17,4,0,0,1.68E+12,1.68E+12,1685,7,1764,1.68E+12,1.68E+12,1685,7,1764,0,0,0,0,0,104,252,221.493416,576,104,252,221.493416,576,0,0,0,0,52,280.8333333,248.8866543,765,52,280.8333333,248.8866543,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[127, 127, 576]","[0, 765, 52]",0,0,benign
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,1616,53,72402,1.68E+12,1.68E+12,1616,53,72402,0,0,0,0,0,227,1366.075472,1180.442711,4096,227,1366.075472,1180.442711,4096,0,0,0,0,0,31.07692308,88.5446262,616,0,31.07692308,88.5446262,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[1728, 1728, 576]","[0, 616, 203]",0,0,benign
0,8889,6525,17,4,0,0,1.68E+12,1.68E+12,2870,32,8128,1.68E+12,1.68E+12,4,2,210,1.68E+12,1.68E+12,1428,30,7918,105,254,406.1395756,2340,105,105,0,105,114,263.9333333,417.9617152,2340,1,92.58064516,264.4083678,1438,4,4,0,4,1,49.24137931,89.61889755,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 1]","[105, 105, 114]","[0, 4, 1438]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,2921,3,331,1.68E+12,1.68E+12,2921,3,331,0,0,0,0,0,103,110.3333333,6.350852961,114,103,110.3333333,6.350852961,114,0,0,0,0,20,1460.5,2037.174637,2901,20,1460.5,2037.174637,2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[103, 114, 114]","[0, 20, 2901]",0,0,benign
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,0,1,576,1.68E+12,1.68E+12,0,1,576,0,0,0,0,0,576,576,0,576,576,576,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[576, -1, -1]","[0, -1, -1]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,21,2,976,1.68E+12,1.68E+12,21,2,976,0,0,0,0,0,184,488,429.920923,792,184,488,429.920923,792,0,0,0,0,21,21,0,21,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, -1]","[792, 184, -1]","[0, 21, -1]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,0,1,110,1.68E+12,1.68E+12,0,1,110,0,0,0,0,0,110,110,0,110,110,110,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[110, -1, -1]","[0, -1, -1]",0,0,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,2892,2,776,1.68E+12,1.68E+12,2892,2,776,0,0,0,0,0,200,388,265.8721497,576,200,388,265.8721497,576,0,0,0,0,2892,2892,0,2892,2892,2892,0,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, -1]","[200, 576, -1]","[0, 2892, -1]",0,0,benign
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,0,1,2336,1.68E+12,1.68E+12,0,1,2336,0,0,0,0,0,2336,2336,0,2336,2336,2336,0,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[2336, -1, -1]","[0, -1, -1]",0,0,benign
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,2256,31,44424,1.68E+12,1.68E+12,2256,31,44424,0,0,0,0,0,576,1433.032258,1355.135995,4096,576,1433.032258,1355.135995,4096,0,0,0,0,1,75.2,238.1126074,1257,1,75.2,238.1126074,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 28, 1257]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,4435,6,4624,1.68E+12,1.68E+12,0,1,114,1.68E+12,1.68E+12,2199,5,4510,114,770.6666667,1164.479226,3104,114,114,0,114,127,902,1251.259965,3104,4,887,1122.547104,2236,0,0,0,0,4,549.75,960.1556731,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 1, 1]","[114, 576, 127]","[0, 2236, 1988]",0,0,benign
